54	Acura	187	(ACUR)
31	Alfa Romeo	187	(ALFA)
03	AM General	188	(AMGN)
01	American Motors	189	(AMER)
69-031	Aston Martin	250	(ASTO)
32	Audi	190	(AUDI)
33	Austin/Austin Healey	191	(AUST)
29-001	Avanti	250	(AVTI)
98-802	Auto-Union-DKW	269	(AUTU)
69-042	Bentley	251	(BENT)
69-052	Bertone	251	(BERO)
90	Bluebird	267	(BLUI)
34	BMW	191	(BMW)
69-032	Bricklin	250	(BRIC)
80	Brockway	257	(BROC)
70	BSA	253	(BSA)
18	Buick	193	(BUIC)
19	Cadillac	194	(CADI)
98-903	Carpenter	270
29-002	Checker	250	(CHEC)
20	Chevrolet	195	(CHEV)
06	Chrysler	199	(CHRY)
69-033	Citroen	250	(CITR)
98-904	Collins Bus	270
64	Daewoo	201	(DAEW)
60	Daihatsu	201	(DAIH)
35	Datsun	231	(DATS)
69-034	DeLorean	250	(DELO)
29-398	Desoto	250	(DESO)
69-048	Desta	251
81	Diamond Reo or Reo	258	(DIAR)
98-905	DINA	270	(DINA)
98-803	Divco	269	(DIVC)
07	Dodge	201	(DODG)

71	Ducati	253	(DUCA)
10	Eagle	205	(EGIL)
91	Eagle Coach	267
29-398	Excaliber	250	(EXCL)
69-035	Ferrari	251	(FERR)
36	Fiat	205	(FIAT)
12	Ford	206	(FORD)
82	Freightliner	259	(FRHT)
83	FWD	260	(FWD)
69-398	Gazelle	252	(GZL)
92	Gillig	268
23	GMC	210	(GMC)
25	Grumman	212	(GRUM)
72	Harley Davidson	253	(HD)
69-036	Hillman	251	(HILL)
98-806	Hino	270	(HINO)
37	Honda	213	(HOND)
29-398	Hudson	250	(HUDS)
55	Hyundai	215	(HYUN)
08	Imperial	216	(CHRY)
58	Infiniti	216	(INFI)
84	International Harvester	261	(INTL)
38	Isuzu	217	(ISU )
88	Iveco/Magirus	264	(IVEC)
39	Jaguar	219	(JAGU)
69-037	Jensen	251	(JENS)
02	Jeep	219	(AMER)
02	Kaiser-Jeep	219	(AMER)
73	Kawasaki	254	(KAWK)
85	Kenworth	262	(KW)
63	Kia	220	(KIA)
69-058	Koenigsegg	252
69-053	Lada	251	(LADA)
69-038	Lamborghini	251	(LAMO)	

40	Lancia	221	(LNCI)
62	Land Rover	221	(LNDR)
59	Lexus	222	(LEXS)
13	Lincoln	223	(LINC)
69-039	Lotus	251	(LOTU)
86	Mack	263	(MACK)
69-061	Mahinda	252
69-040	Maserati	251	(MASE)
69-056	Maybach	252	(MAYB)
41	Mazda	223	(MAZD)
93	MCI	268	(MCIN)
42	Mercedes-Benz	225	(MERZ)
14	Mercury	227	(MERC)
56	Merkur	229	(MERK)
98-906	Mid Bus	270
69-054	Mini-Cooper	252
43	MG	229	(MG)
52	Mitsubishi	229	(MITS)
69-055	Morgan	252	(MORG)
69-041	Morris	251	(MORR)
74	Moto-Guzzi	254	(MOGU)
84	Navistar	261	(NAVI)
98-902	Neoplan	270	(NEOP)
35	Nissan	231	(NISS)
75	Norton	255	(NORT)
21	Oldsmobile	233	(OLDS)
18	Opel	194	(OPEL)
98-907	Orion	270	(ONTR)
98-805	Oshkosh	269	(OSHK)
29-398	Packard	250	(PACK)
29-003	Panoz	250	(PANZ)
87	Peterbilt	265	(PTRB)
44	Peugeot	234	(PEUG)
09	Plymouth	235	(PLYM)
22	Pontiac	237	(PONT)
45	Porsche	238	(PORS)
69-049	Reliant (British)	251	(RELA)
46	Renault	239	(RENA)
69-042	Rolls Royce	251	(ROL)
47	Saab	240	(SAA)
29-004	Saleen	250
24	Saturn	240	(STRN)

98-807	Scania	270	(SCAN)
69-044	Simca	251	(SIM)
69-398	Singer	252	(SIN)
65	Smart	241
69-057	Spyker	252
61	Sterling	241	(STLG)
98-809	Sterling	270	(STLG)
29-001	Studabaker	250	(STU )
29-398	Stutz	250	(STUZ)
48	Subaru	242	(SUBA)
69-045	Sunbeam	251	(SUNB)
53	Suzuki	243	(SUZI)
69-059	Tesla	252
94	Thomas Built	268	(THMS)
49	Toyota	244	(TOYT)
50	Triumph	246	(TRIU)
69-046	TVR	251	(TVR)
98-808	UD	270	(UD)
98-908	Van Hool	270
77	Victory	255	(VCTY)
30	Volkswagen	247	(VOLK)
51	Volvo	248	(VOLV)
98-804	Western Star	269	(WSTR)
89	White/Autocar	266	(WHIT)
89	White/GMC	266	(WHGM)
02	Willys-Jeep	219	(AMER)
76	Yamaha	255	(YAMA)
69-060	Yes	252
57	Yugo	250	(YUGO)
