Acura,(ACUR)
Alfa Romeo,(ALFA)
AM General,(AMGN)
American Motors,(AMER)
Aston Martin,(ASTO)
Audi,(AUDI)
Austin/Austin Healey,(AUST)
Avanti,(AVTI)
Auto-Union-DKW,(AUTU)
Bentley,(BENT)
Bertone,(BERO)
Bluebird,(BLUI)
BMW,(BMW)
Bricklin,(BRIC)
Brockway,(BROC)
BSA,(BSA)
Buick,(BUIC)
Cadillac,(CADI)
Carpenter
Checker,(CHEC)
Chevrolet,(CHEV)
Chrysler,(CHRY)
Citroen,(CITR)
Collins Bus
Daewoo,(DAEW)
Daihatsu,(DAIH)
Datsun,(DATS)
DeLorean,(DELO)
Desoto,(DESO)
Desta
Diamond Reo or Reo,(DIAR)
DINA,(DINA)
Divco,(DIVC)
Dodge,(DODG)

Ducati,(DUCA)
Eagle,(EGIL)
Eagle Coach
Excaliber,(EXCL)
Ferrari,(FERR)
Fiat,(FIAT)
Ford,(FORD)
Freightliner,(FRHT)
FWD,(FWD)
Gazelle,(GZL)
Gillig
GMC,(GMC)
Grumman,(GRUM)
Harley Davidson,(HD)
Hillman,(HILL)
Hino,(HINO)
Honda,(HOND)
Hudson,(HUDS)
Hyundai,(HYUN)
Imperial,(CHRY)
Infiniti,(INFI)
International Harvester,(INTL)
Isuzu,(ISU )
Iveco/Magirus,(IVEC)
Jaguar,(JAGU)
Jensen,(JENS)
Jeep,(AMER)
Kaiser-Jeep,(AMER)
Kawasaki,(KAWK)
Kenworth,(KW)
Kia,(KIA)
Koenigsegg
Lada,(LADA)

Lancia,(LNCI)
Land Rover,(LNDR)
Lexus,(LEXS)
Lincoln,(LINC)
Lotus,(LOTU)
Mack,(MACK)
Mahinda
Maserati,(MASE)
Maybach,(MAYB)
Mazda,(MAZD)
MCI,(MCIN)
Mercedes-Benz,(MERZ)
Mercury,(MERC)
Merkur,(MERK)
Mid Bus
Mini-Cooper
MG,(MG)
Mitsubishi,(MITS)
Morgan,(MORG)
Morris,(MORR)
Moto-Guzzi,(MOGU)
Navistar,(NAVI)
Neoplan,(NEOP)
Nissan,(NISS)
Norton,(NORT)
Oldsmobile,(OLDS)
Opel,(OPEL)
Orion,(ONTR)
Oshkosh,(OSHK)
Packard,(PACK)
Panoz,(PANZ)
Peterbilt,(PTRB)
Peugeot,(PEUG)
Plymouth,(PLYM)
Pontiac,(PONT)
Porsche,(PORS)
Reliant (British),(RELA)
Renault,(RENA)
Rolls Royce,(ROL)
Saab,(SAA)
Saleen
Saturn,(STRN)

Scania,(SCAN)
Simca,(SIM)
Singer,(SIN)
Smart
Spyker
Sterling,(STLG)
Sterling,(STLG)
Studabaker,(STU )
Stutz,(STUZ)
Subaru,(SUBA)
Sunbeam,(SUNB)
Suzuki,(SUZI)
Tesla
Thomas Built,(THMS)
Toyota,(TOYT)
Triumph,(TRIU)
TVR,(TVR)
UD,(UD)
Van Hool
Victory,(VCTY)
Volkswagen,(VOLK)
Volvo,(VOLV)
Western Star,(WSTR)
White/Autocar,(WHIT)
White/GMC,(WHGM)
Willys-Jeep,(AMER)
Yamaha,(YAMA)
Yes
Yugo,(YUGO)
