Created Date,Complaint Type,Borough,count
2010/01/01,electric,BRONX,10
2010/01/02,electric,BRONX,14
2010/01/03,electric,BRONX,23
2010/01/04,electric,BRONX,40
2010/01/05,electric,BRONX,45
2010/01/06,electric,BRONX,32
2010/01/07,electric,BRONX,28
2010/01/08,electric,BRONX,23
2010/01/09,electric,BRONX,21
2010/01/10,electric,BRONX,22
2010/01/11,electric,BRONX,41
2010/01/12,electric,BRONX,52
2010/01/13,electric,BRONX,55
2010/01/14,electric,BRONX,24
2010/01/15,electric,BRONX,34
2010/01/16,electric,BRONX,33
2010/01/17,electric,BRONX,16
2010/01/18,electric,BRONX,42
2010/01/19,electric,BRONX,48
2010/01/20,electric,BRONX,36
2010/01/21,electric,BRONX,32
2010/01/22,electric,BRONX,34
2010/01/23,electric,BRONX,19
2010/01/24,electric,BRONX,7
2010/01/25,electric,BRONX,51
2010/01/26,electric,BRONX,51
2010/01/27,electric,BRONX,24
2010/01/28,electric,BRONX,30
2010/01/29,electric,BRONX,46
2010/01/30,electric,BRONX,49
2010/01/31,electric,BRONX,11
2010/02/01,electric,BRONX,36
2010/02/02,electric,BRONX,26
2010/02/03,electric,BRONX,51
2010/02/04,electric,BRONX,26
2010/02/05,electric,BRONX,21
2010/02/06,electric,BRONX,15
2010/02/07,electric,BRONX,16
2010/02/08,electric,BRONX,59
2010/02/09,electric,BRONX,57
2010/02/10,electric,BRONX,27
2010/02/11,electric,BRONX,19
2010/02/12,electric,BRONX,29
2010/02/13,electric,BRONX,7
2010/02/14,electric,BRONX,19
2010/02/15,electric,BRONX,32
2010/02/16,electric,BRONX,21
2010/02/17,electric,BRONX,38
2010/02/18,electric,BRONX,37
2010/02/19,electric,BRONX,36
2010/02/20,electric,BRONX,24
2010/02/21,electric,BRONX,15
2010/02/22,electric,BRONX,62
2010/02/23,electric,BRONX,56
2010/02/24,electric,BRONX,35
2010/02/25,electric,BRONX,55
2010/02/26,electric,BRONX,38
2010/02/27,electric,BRONX,23
2010/02/28,electric,BRONX,25
2010/03/01,electric,BRONX,51
2010/03/02,electric,BRONX,34
2010/03/03,electric,BRONX,35
2010/03/04,electric,BRONX,36
2010/03/05,electric,BRONX,38
2010/03/06,electric,BRONX,19
2010/03/07,electric,BRONX,13
2010/03/08,electric,BRONX,38
2010/03/09,electric,BRONX,27
2010/03/10,electric,BRONX,32
2010/03/11,electric,BRONX,22
2010/03/12,electric,BRONX,27
2010/03/13,electric,BRONX,11
2010/03/14,electric,BRONX,28
2010/03/15,electric,BRONX,54
2010/03/16,electric,BRONX,27
2010/03/17,electric,BRONX,27
2010/03/18,electric,BRONX,23
2010/03/19,electric,BRONX,26
2010/03/20,electric,BRONX,9
2010/03/21,electric,BRONX,21
2010/03/22,electric,BRONX,32
2010/03/23,electric,BRONX,26
2010/03/24,electric,BRONX,30
2010/03/25,electric,BRONX,32
2010/03/26,electric,BRONX,24
2010/03/27,electric,BRONX,21
2010/03/28,electric,BRONX,10
2010/03/29,electric,BRONX,47
2010/03/30,electric,BRONX,69
2010/03/31,electric,BRONX,39
2010/04/01,electric,BRONX,30
2010/04/02,electric,BRONX,24
2010/04/03,electric,BRONX,11
2010/04/04,electric,BRONX,8
2010/04/05,electric,BRONX,37
2010/04/06,electric,BRONX,31
2010/04/07,electric,BRONX,36
2010/04/08,electric,BRONX,33
2010/04/09,electric,BRONX,23
2010/04/10,electric,BRONX,16
2010/04/11,electric,BRONX,10
2010/04/12,electric,BRONX,46
